Patient Aadhar,Patient Name,Patient Age,Gender,Location,XOffset,YOffset,Choice,Endowment,Characteristic 1,Characteristic 2,Characteristic 3,Characteristic 4,Characteristic 5,Characteristic 6
962204129012,Mahima Khandoi,22,F,Nawabganj,-2.5023,-1.3736,1,9580,1,2,3,4,3,2
587048599991,Pulkit Desai,66,M,Muzaffarnagar,-0.1077,-7.351,4,78929,4,3,2,3,4,3
707877541339,Ameya Kumar,49,M,Sidhauli,4.8368,3.7448,1,7016,3,2,1,2,1,2
861632082427,Ankit Satpathy,37,M,Varanasi,4.8663,5.7872,3,56011,3,4,3,4,3,4
204084954658,Ishita Patri,62,F,Vrindavan,-2.4873,-0.9033,2,29545,1,2,3,4,3,4
381461943813,Jamal Goswami,37,M,Nanpapa,-0.0449,3.7982,2,38916,3,4,3,2,1,2
484514542993,Divyanshi Garg,54,F,Chandausi,-8.846,-7.2096,4,82747,4,3,2,3,4,3
775324416776,Chamanlal Soni,21,M,Rae Bareli,-2.1971,-6.3747,1,9709,3,4,3,2,3,4
455828142699,Dhriti Mehta,33,F,Nawabganj,-8.0195,-4.2259,4,96703,1,2,1,2,1,2
661630059312,Pratik Singh,52,M,Rampur,-8.4706,-9.862,1,14490,4,3,4,3,4,3
307844575037,Aditya Basu,29,M,Gomatin R.,-2.8142,-0.0141,4,83367,3,4,3,2,1,2
993383301569,Mona Chauhan,40,F,Hardoi,4.8918,5.6429,4,79584,4,3,2,3,2,1
585426784280,Sushma Dengere,68,F,Ahraura,7.7937,-0.3958,3,66432,3,2,3,2,1,2
982391964645,Chamanlal Mujumdar,21,M,Bijnor,9.2179,-8.9178,3,57845,2,3,2,1,2,1
697703060566,Prakhar Lodhi,62,M,Kadaura,-5.6088,-1.8234,3,70328,2,3,2,3,4,3
878868752281,Taarak Rahi,73,M,Pratapgarh,2.1391,-0.8256,2,49827,3,2,1,2,3,2
344106081075,Neha Arora,75,F,Vrindavan,1.3511,-3.303,4,79708,3,2,3,4,3,2
560448113230,Adesh Tyagi,72,M,Ballia,-3.7131,-8.1529,4,81216,1,2,1,2,3,4
658852724308,Monoj Nigam,17,M,Fatehpur,-6.9944,9.0836,2,39099,3,4,3,4,3,4
705365849545,Sonu Arora,69,F,Sambhal,4.0322,-9.7485,3,62090,2,3,2,3,2,3
863493837638,Rhitwik Basu,71,M,Nihasan,-0.9955,9.4911,1,14669,2,3,4,3,4,3
992816355907,Rhythm Sharma,57,M,Gomatin R.,7.8838,-5.587,3,74519,4,3,2,1,2,3
163983745209,Abhik Thakur,71,M,Barabanki,5.5726,8.8138,3,55111,3,4,3,2,3,2
340735968443,Divyanshi Tyagi,37,F,Ahraura,6.607,-0.5828,3,68798,4,3,2,3,2,3
922524181263,Neema Sinha,60,F,Rae Bareli,0.5145,-1.9444,1,8134,2,3,2,3,2,3
955990027045,Chamanlal Shukla,36,M,Kheri,-9.6916,0.6718,3,63328,4,3,2,3,4,3
827925552433,Nikita Yadav,22,F,Tanda,6.9949,4.1186,4,87782,4,3,2,3,2,3
868453316251,Rhythm Basu,62,M,Chandausi,-0.6202,-4.6421,2,33314,2,1,2,3,4,3
449333656577,Divyanshi Lodhi,44,F,Ballia,9.0991,7.2907,2,36215,2,1,2,3,4,3
578595389104,Jaya Koshta,46,F,Khurja,-3.1367,8.4474,4,84377,2,3,4,3,4,3
752599117599,Jamal Yadav,62,M,Gorakhpur,-1.1308,0.522,2,41074,3,2,1,2,3,2
505508100777,Sonu Shukla,56,F,Ghazipur,3.6249,-5.9675,3,72253,2,1,2,3,2,1
788957481832,Pratik Vashishth,60,M,Tanda,-3.1781,9.8504,2,27447,4,3,2,3,2,1
553838905172,Ameya Samota,28,M,Bindki,7.7654,3.7724,3,54029,2,1,2,1,2,3
780008360267,Sushma Shah,68,F,Nawabganj,-0.2698,6.0819,1,15944,2,1,2,1,2,3
271630348562,Prakhar Shah,40,M,Etah,-4.8807,5.7487,1,24072,2,3,4,3,4,3
226926206058,Abhik Biswa,63,M,Lalitpur,8.8483,-7.8243,4,90474,4,3,4,3,2,1
770585018329,Taarak Bajpeyi,31,M,Nanpapa,-0.6543,5.1026,3,68482,3,2,3,2,1,2
521590135273,Abhishek Biswa,54,M,Bulandshahr,-0.516,3.0689,3,52302,1,2,3,4,3,4
597407563624,Nikita Goyal,31,F,Hardoi,-7.8619,-0.5159,2,38743,1,2,3,4,3,4
653848649566,Aryan Mehtele,69,M,Meerut,2.4321,-9.0582,1,21348,2,1,2,1,2,3
221181892063,Bikash Goswami,71,M,Saidpur,-8.0026,-5.0559,2,44041,4,3,2,1,2,1
568253231439,Nikita Nigam,21,F,Pillbhit,2.6676,8.9175,3,57547,3,4,3,2,1,2
116959296399,Prakhar Biswa,52,M,Saidpur,-7.733,-7.1379,4,86916,2,1,2,3,4,3
397032361014,Amol Goswami,36,M,Akbarpur,-1.2649,-4.848,4,92881,4,3,2,3,4,3
878068290430,Mahua Biswa,46,F,Kanpur Nagar,-9.4625,1.657,3,56398,4,3,4,3,2,1
772551107736,Aditya Chauhan,20,M,Deoband,-6.7423,7.4753,1,16427,1,2,1,2,3,2
551538772891,Mahima Shukla,40,F,Padrauna,6.6656,8.9375,3,57949,3,2,3,4,3,4
140167077307,Pratik Sinha,47,M,Jigni,-5.1599,1.4032,3,53750,1,2,1,2,1,2
307864778353,Mahima Desai,47,F,Utaraula,3.7163,5.9817,4,82200,4,3,2,3,4,3
304312748229,Janhavi Goyal,52,F,Bahraich,-2.3158,9.5038,2,38606,1,2,3,4,3,2
129475101159,Ashish Khandoi,75,M,Barabanki,9.1491,7.3122,2,49309,3,4,3,2,3,2
683606686748,Ankita Mahajan,46,F,Barhaj,2.0438,-6.7061,2,25786,1,2,3,4,3,2
585321440280,Nikita Singh,34,F,Jhansi,5.8188,8.9777,1,6098,2,1,2,1,2,1
190412496885,Aditya Rathod,44,M,Meerut,-1.0346,-4.2609,3,63208,2,1,2,1,2,3
131759756009,Ankita Soni,32,F,Farrukhabad,-1.6709,3.14,1,22838,1,2,3,2,1,2
425069326163,Ankit Mehta,20,M,Rohikhand,-9.4065,0.6043,2,38747,3,2,1,2,3,2
379515195446,Antara Shukla,52,F,Dalmau,0.6582,6.4538,3,68217,2,1,2,1,2,3
268646259164,Aryan Thakur,23,M,Kannauj,1.7689,-1.0245,3,60286,1,2,1,2,3,2
559238971781,Ameya Yadav,69,M,Vrindavan,-4.3047,-3.8268,3,54566,4,3,2,1,2,3
225150029876,Janvi Arora,73,F,Varanasi,-1.9166,9.3427,3,61224,3,4,3,4,3,2
896206010244,Rhitwik Yadav,18,M,Ghazipur,-2.3324,-5.3121,3,53423,1,2,1,2,1,2
367217780065,Vishakha Basu,12,F,Bulandshahr,0.4023,-0.8763,2,38861,3,2,1,2,1,2
170976142976,Aryan Kolte,65,M,Sarila,-6.655,-9.2864,3,62584,3,2,1,2,1,2
969909765790,Adesh Kumar,14,M,Nagina,-8.868,6.152,4,86136,3,2,3,2,3,2
885317194206,Abhik Dwivedi,24,M,Mehndawal,4.9958,-3.3512,2,30724,3,4,3,2,3,4
541642707726,Devraj Biswa,30,M,Shahabad,-6.4875,-9.2985,3,69068,2,3,2,3,2,3
414127886644,Jaya Satpathy,36,F,Vrindavan,-1.8072,6.9289,1,10093,4,3,2,1,2,1
117434169573,Prakhar Chauhan,56,M,Saharanpur,-5.9027,1.9152,1,14280,1,2,3,2,1,2
648986204763,Mahua Khan,16,F,Mau,9.2132,3.8908,1,14512,2,1,2,3,2,1
588389193955,Vishakha Mehtele,73,F,Gomatin R.,-3.177,1.0755,2,36148,4,3,4,3,4,3
409829329948,Bikash Saha,47,M,Jaunpur,-2.1601,3.3509,1,8190,4,3,4,3,2,1
661787477256,Janvi Sharma,33,F,Gorakhpur,3.4623,-4.0609,2,48759,1,2,3,2,3,4
999242622139,Vishakha Dwivedi,21,F,Sultanpur,-2.2039,3.1889,1,11045,3,4,3,2,1,2
605465584789,Rhythm Lodhi,52,M,Rae Bareli,-9.7479,5.4152,3,67716,4,3,2,3,4,3
689013054621,Aditya Satpathy,30,M,Gomatin R.,5.9313,-9.1292,4,92681,3,4,3,4,3,4
114254068574,Janhavi Garg,31,F,Chandauli,8.8001,-6.5902,3,70514,2,3,2,1,2,3
186591007798,Abhishek Basu,16,M,Bulandshahr,-2.5399,-7.5193,1,17023,2,1,2,1,2,3
592889769358,Pratik Desai,52,M,Pillbhit,0.5373,-5.7828,4,99641,4,3,2,1,2,1
876965727197,Neha Dwivedi,36,F,Fatehgarh,-8.9609,-7.8873,2,49179,3,4,3,4,3,2
550163919051,Aditya Tomar,67,M,Ghatampur,-9.5406,3.8826,3,72062,3,4,3,4,3,4
654623647714,Aditya Nigam,22,M,Bithur,2.1703,-1.0839,4,97034,3,2,1,2,1,2
112413561568,Adesh Thakur,61,M,Jhansi,2.9411,-3.6259,4,79177,1,2,3,2,1,2
290235202135,Bikash Goyal,48,M,Jaunpur,5.3338,9.6313,1,11768,2,1,2,1,2,3
631718542647,Arpit Koshta,22,M,Amroha,4.7625,4.1394,1,13271,4,3,4,3,2,3
333650525033,Janvi Patri,50,F,Ballia,8.3915,0.7286,2,41228,3,4,3,2,1,2
276895072508,Ankit Shyamlal,33,M,Ghaghara R.,8.6206,-8.8798,1,24092,3,2,1,2,1,2
689469742931,Ankita Mehta,57,F,Khurja,5.4131,6.509,2,30386,2,3,4,3,2,1
838366551201,Mahima Bajpeyi,12,F,Kamasin,4.2329,-0.9908,3,63261,3,4,3,4,3,4
170652114985,Dhairay Yadav,24,M,Terai Swamp,1.0614,5.977,3,73877,4,3,2,3,4,3
382450556744,Rhitwik Khandoi,63,M,Fatehpur,-7.3106,2.7555,2,41324,2,1,2,3,2,3
620938772753,Abhishek Arora,55,M,Ballia,-7.6036,-7.108,3,68911,4,3,2,1,2,3
382493370967,Utkarsh Tomar,30,M,Fatehpur,6.655,7.6762,4,92385,4,3,4,3,4,3
825571850390,Arpit Arora,38,M,Barhaj,9.0709,5.7768,4,93963,1,2,1,2,3,2
370096438243,Antara Desai,44,F,Hapur,-3.0117,5.2377,3,66841,1,2,3,2,3,2
951632343006,Chamanlal Upadhyay,18,M,Firozabad,4.2202,-2.3296,4,77842,4,3,2,1,2,3
742972003161,Adesh Yadav,65,M,Vrindavan,1.1024,-5.7171,3,73397,3,2,1,2,1,2
495602793292,Monoj Desai,18,M,Machhlishahr,-9.0799,3.364,2,37130,1,2,1,2,3,2
395525613555,Janhavi Shah,23,F,Gonda,-5.0858,-0.3709,1,15171,3,2,1,2,1,2
946425166554,Abhishek Yadav,24,M,Sidhauli,-8.9899,5.2046,3,69971,1,2,1,2,3,4
940400383796,Neema Shyamlal,24,F,Fatehgarh,0.4162,-6.2498,2,44189,4,3,2,1,2,3
128430783653,Pratik Mujumdar,69,M,Phulpur,-4.3419,-2.2858,4,75786,4,3,2,1,2,1
796889269081,Devraj Shah,72,M,Ambedkar Nagar,-1.7962,-3.7068,1,17984,4,3,2,1,2,3
876175064529,Mona Samota,18,F,Deoband,6.6154,4.2011,1,10743,4,3,4,3,4,3
589249415507,Jamal Arora,43,M,Jalaun,-0.9946,1.5986,1,23883,1,2,1,2,1,2
549301160689,Jaya Upadhyay,40,F,Pillbhit,-1.031,7.3546,2,33523,2,3,4,3,2,3
167286505539,Jamal Goyal,34,M,Ayodhya,-2.6755,2.3333,2,42075,4,3,2,1,2,1
304417877385,Jamal Chauhan,40,M,Varanasi,5.3942,3.9144,4,85915,4,3,2,3,4,3
331210626728,Sushma Vashishth,13,F,Lakhimpur Kheri,2.8362,1.3432,2,40426,4,3,2,3,4,3
259096998370,Jamal Rathod,58,M,Mughal Serai,-3.4575,-2.1135,4,84355,3,2,1,2,3,2
555912299961,Neema Gupta,42,F,Khurja,-7.5708,1.4025,1,24836,2,3,4,3,2,3
814395362037,Utkarsh Bharti,62,M,Lakhimpur Kheri,-3.4609,9.7655,2,42930,3,4,3,4,3,2
745501773559,Mahima Dadwal,73,F,Ahraura,8.4233,7.0676,4,78525,4,3,4,3,4,3
463512284069,Ishita Upadhyay,61,F,Jalalpur,-1.4008,8.8438,1,8594,1,2,1,2,3,4
902914018905,Ishita Sinha,39,F,Sultanpur,0.0281,-6.0675,1,5040,2,3,2,1,2,3
333642324244,Pravat Bajpeyi,47,M,Dalmau,1.7225,9.4214,1,23738,3,4,3,2,3,4
427112096950,Jaya Rathod,43,F,Fatehpur,-9.9265,-5.8961,3,64416,2,3,2,3,2,1
662862761979,Amol Garg,13,M,Jigni,2.0887,-5.0937,2,44352,3,4,3,4,3,2
666481979978,Dhairay Vashishth,43,M,Barhaj,-3.4215,-6.3934,3,58609,4,3,2,3,2,1
867955738362,Abhishek Tomar,56,M,Chandausi,-8.3026,-1.9218,1,12404,3,2,3,4,3,4
260106578931,Ankit Gupta,69,M,Gorakhpur,5.4146,6.0313,3,59914,4,3,2,1,2,1
705485084023,Monoj Upadhyay,27,M,Barabanki,-0.4603,4.1817,4,92632,2,1,2,3,4,3
129654870970,Pravat Thakur,65,M,Rohikhand,-7.5137,-7.7922,4,84761,2,3,4,3,2,3
737977880826,Prakhar Saha,57,M,Kanpur Dehat,-4.3136,4.8196,4,90816,3,2,1,2,1,2
648357852156,Pulkit Dengere,70,M,Kannauj,3.7398,-6.1827,4,83502,1,2,3,2,1,2
658347317133,Ashish Soni,18,M,Ghatampur,5.8831,2.5192,3,70694,2,3,2,1,2,1
466232636140,Aman Nigam,20,M,Bindki,5.8377,4.6668,1,19347,4,3,2,3,4,3
673258374380,Mahua Tomar,37,F,Moradabad,-4.9652,4.1477,4,89437,2,3,2,3,4,3
614556849338,Janvi Dwivedi,62,F,Bijnor,3.2694,9.2371,1,18924,4,3,4,3,4,3
378178097018,Aryan Soni,18,M,Agra,6.6549,-7.9637,2,31822,4,3,4,3,4,3
881365995293,Utkarsh Dadwal,70,M,Barhaj,-0.0243,2.6665,2,48319,2,3,2,3,4,3
260725982286,Prakhar Samota,52,M,Fatehgarh,0.35,-9.6572,2,28991,3,2,1,2,3,4
141906045771,Pratik Dengere,61,M,Ghaziabad,2.5411,5.9143,2,33356,4,3,2,3,2,1
539884679308,Parth Mehta,58,M,Rampur,3.4554,-1.4654,4,83746,1,2,3,2,3,4
409878899450,Arpit Khan,16,M,Lucknow,-5.8026,0.4923,3,56215,4,3,2,3,4,3
430591592784,Monoj Mujumdar,28,M,Mahoba,-1.7842,1.1002,4,94101,4,3,4,3,4,3
111106505291,Sonu Shyamlal,17,F,Phulpur,-1.6675,1.7143,3,69207,4,3,2,3,2,1
701158731918,Aman Arora,29,M,Ahraura,1.0855,9.3567,2,36349,2,3,2,3,4,3
410085748316,Dhairay Satpathy,57,M,Bulandshahr,2.2742,5.3973,1,10567,3,2,1,2,1,2
385962368207,Amol Arora,67,M,Ghatampur,-5.0903,-8.2354,3,57324,1,2,1,2,1,2
981339586602,Ankita Basu,75,F,Bansi,0.0032,8.8904,3,69249,4,3,2,3,4,3
388694713293,Prajjwal Samota,55,M,Nanpapa,2.6768,9.5269,1,24661,1,2,1,2,1,2
150379463668,Pratik Mehta,29,M,Saharanpur,-2.5272,-3.6782,1,13481,1,2,1,2,1,2
358980724330,Dhairay Sharma,15,M,Hamirpur,-2.5987,6.4428,3,52693,2,3,4,3,4,3
636590339290,Aryan Bansari,28,M,Nawabganj,9.2852,2.588,1,14724,4,3,4,3,2,1
344472829133,Monoj Yadav,12,M,Vrindavan,-3.9285,-3.2583,2,35371,2,3,2,3,2,1
376199005935,Ankita Rathod,60,F,Gorakhpur,0.8996,-5.9018,1,19961,2,3,2,1,2,3
701857416686,Jamal Kumar,37,M,Nihasan,5.2336,-6.2492,2,45042,2,3,4,3,2,3
430490688481,Neha Desai,52,F,Moradabad,-7.6309,3.1713,3,57772,2,3,2,3,4,3
373381559271,Ishita Basu,57,F,Varuna,0.6041,1.0977,4,82949,2,3,2,1,2,1
287712760088,Bikash Khan,35,M,Barhaj,9.0614,-2.9072,1,10451,2,3,2,3,4,3
780875863455,Utkarsh Mehta,41,M,Muzaffarnagar,-8.2318,0.8268,3,71595,2,3,4,3,4,3
760577400914,Aman Dadwal,34,M,Jalaun,-3.4493,-4.6963,3,57811,3,2,1,2,1,2
215009606713,Devraj Kolte,70,M,Kamasin,-4.1718,7.7061,4,88078,4,3,4,3,2,3
651889108418,Abhishek Saha,43,M,Rae Bareli,3.066,-4.4052,2,34923,2,1,2,3,4,3
543388952667,Parth Bharti,58,M,Pillbhit,-4.4528,-3.9262,2,47723,4,3,4,3,4,3
638006948200,Sushma Shukla,67,F,Hardoi,1.1877,8.9965,1,17828,3,4,3,4,3,2
564648595976,Ankit Mehtele,62,M,Terai Swamp,-1.5874,6.7558,2,46247,4,3,4,3,4,3
657379661778,Khushi Upadhyay,53,F,Farrukhabad,-0.9902,9.306,3,54416,4,3,2,3,2,1
300131996053,Pravat Gupta,29,M,Bindki,2.8524,-6.0495,4,76421,1,2,1,2,3,4
539340119227,Sushma Chauhan,35,F,Shahjahanpur,-3.8224,-1.4478,2,42449,1,2,1,2,1,2
858836231772,Mahima Bansari,18,F,Rae Bareli,-8.4832,-6.3024,1,11739,3,4,3,2,3,4
177954003021,Abhishek Chauhan,44,M,Hamirpur,-7.7031,-0.8145,1,16230,1,2,3,4,3,4
188877975817,Nikita Goswami,50,F,Saidpur,-8.6554,4.1522,2,31982,3,2,1,2,3,2
773148373344,Pulkit Garg,75,M,Varanasi,5.4391,-9.4921,3,53020,1,2,3,4,3,4
659201516752,Devraj Mehtele,70,M,Farrukhabad,-5.9636,1.3073,2,35766,4,3,4,3,4,3
505945440123,Ankit Barai,62,M,Fatehpur,4.0849,1.6662,2,31518,1,2,3,4,3,4
459209500832,Ankita Vashishth,26,F,Charkhari,3.7277,1.0607,4,99278,3,4,3,2,3,4
520953071954,Pravat Goswami,57,M,Saidpur,-2.761,6.651,2,42200,2,1,2,1,2,1
945910375906,Abhik Khandoi,68,M,Jhansi,9.4258,-3.9902,3,58668,3,4,3,4,3,2
542622306852,Ashish Mehtele,13,M,Dalmau,-2.1169,-7.0097,4,93472,4,3,2,1,2,1
390306719308,Mona Bansari,38,F,Ambedkar Nagar,4.2793,6.5972,3,50214,3,4,3,2,3,4
215797447224,Abhishek Patri,13,M,Kanpur Dehat,6.935,6.6795,2,49196,1,2,3,2,3,4
655110156036,Pulkit Barai,22,M,Etah,-0.79,-2.6952,2,27203,2,1,2,3,2,1
872337166301,Pranshu Patri,68,M,Azamgarh,9.026,-1.5499,3,73210,2,3,4,3,2,3
826329130554,Prajjwal Tyagi,56,M,Bindki,7.9851,2.545,4,89597,4,3,4,3,2,1
149210796815,Antara Shah,65,F,Bahraich,8.4113,-8.593,4,98004,1,2,1,2,3,2
927766002928,Rhythm Patri,29,M,Ballia,-9.3425,-4.8345,1,12622,1,2,3,2,1,2
431626357097,Aman Chauhan,27,M,Unnao,5.2414,6.9662,4,97776,4,3,2,1,2,3
956408482970,Monoj Patri,20,M,Lucknow,-2.9985,7.4179,4,97823,2,1,2,1,2,1
433643437192,Aryan Rathod,62,M,Hamirpur,2.1492,2.4968,4,80355,1,2,1,2,1,2
158575892941,Janvi Goswami,39,F,Charkhari,-9.8739,-9.8965,4,91727,3,4,3,2,1,2
955722972983,Mona Mujumdar,23,F,Faizabad,9.7547,3.6499,4,89722,3,2,1,2,1,2
652126919205,Rhitwik Gupta,21,M,Ghatampur,9.0977,5.9572,4,86374,3,4,3,2,3,4
161989759621,Pravat Khan,24,M,Kannauj,-2.2417,-5.5527,1,5764,1,2,1,2,1,2
169725677670,Pratik Khandoi,20,M,Bulandshahr,-9.3517,8.5592,2,47427,2,1,2,1,2,3
250750891327,Nikita Kumar,75,F,Chandausi,0.0475,-5.7404,1,19907,1,2,3,4,3,4
503614097724,Bikash Bansari,73,M,Jalaun,0.7661,9.1366,4,97575,2,3,4,3,4,3
525277708523,Rhitwik Barai,70,M,Unnao,1.2566,9.3889,4,88880,3,2,3,2,1,2
541771697814,Rhythm Rathod,34,M,Utaraula,6.1751,-1.4424,3,51546,4,3,2,1,2,1
707570229712,Pulkit Rathod,39,M,Vrindavan,-8.664,-8.2976,1,16036,3,4,3,2,3,4
460179145324,Mona Vashishth,51,F,Chandauli,3.9402,-0.4437,2,46806,4,3,2,3,4,3
319497520144,Amol Satpathy,18,M,Faizabad,3.9099,-6.7316,2,48680,4,3,2,1,2,3
510003834185,Ankit Khandoi,19,M,Fatehpur,6.3813,-3.1366,1,7239,2,3,4,3,4,3
162883673506,Bikash Lodhi,37,M,Lalitpur,-5.0501,4.3241,3,63139,2,1,2,1,2,3
247031970381,Abhik Gupta,63,M,Unnao,-2.4888,-7.6114,4,87772,2,3,2,1,2,3
425048109061,Parth Yadav,21,M,Barabanki,2.3151,3.1763,2,37364,1,2,1,2,3,4
604671812081,Janvi Yadav,56,F,Khurja,-0.118,-1.4589,2,32456,3,4,3,2,3,4
144088943496,Aman Goyal,71,M,Bijnor,-7.3991,2.6582,1,19791,1,2,3,4,3,4
289191829169,Abhishek Goswami,18,M,Mughal Serai,1.8061,9.0177,4,88483,4,3,4,3,4,3
929056859513,Prajjwal Chauhan,35,M,Jigni,-2.0742,-8.0855,2,30324,2,3,2,1,2,1
678594231807,Vishakha Goyal,70,F,Machhlishahr,8.0032,-6.6244,4,87384,1,2,3,4,3,4
789624230815,Devraj Dadwal,19,M,Aligarh,5.5228,7.5091,2,43672,2,3,2,3,2,3
321386838090,Pulkit Arora,55,M,Bahraich,-5.802,9.0793,3,57220,2,3,4,3,4,3
712836481270,Prakhar Mahajan,15,M,Ambedkar Nagar,6.727,-9.7402,4,91139,2,1,2,3,4,3
645606287751,Nikita Bansari,55,F,Bhadohi,-4.168,-9.8689,1,6938,2,3,2,3,2,1
239114759607,Jaya Bajpeyi,33,F,Unnao,-2.8337,7.7255,4,84150,1,2,1,2,1,2
181006568166,Mahua Kolte,49,F,Nanpapa,8.093,-9.8037,3,54201,1,2,1,2,3,2
602635858930,Rhitwik Vashishth,30,M,Varanasi,-2.9802,1.4871,3,63420,3,2,1,2,3,2
749067618853,Antara Dengere,24,F,Mainpuri,-9.0259,1.7523,3,54246,4,3,2,3,2,3
248603176921,Ishita Rahi,46,F,Bindki,-5.2938,5.7676,2,40772,1,2,1,2,3,4
265654966376,Dhriti Desai,70,F,Varanasi,3.9761,-8.4371,3,57964,2,3,2,3,2,1
517312802627,Rhythm Mahajan,47,M,Gorakhpur,-8.447,1.2458,2,41450,4,3,4,3,4,3
506112691870,Amol Koshta,59,M,Farrukhabad,4.8327,-6.1239,2,47581,4,3,4,3,4,3
737087741615,Utkarsh Mahajan,40,M,Farrukhabad,1.3749,-2.7135,3,70893,4,3,4,3,2,1
136129566421,Rhitwik Mehtele,54,M,Charkhari,-4.1666,-8.996,3,51040,3,4,3,4,3,4
613240018890,Pravat Basu,29,M,Mirzapur,-7.2854,-6.2232,3,60621,1,2,3,2,3,4
428282177723,Taarak Sinha,22,M,Varanasi,0.0693,-8.9139,3,63992,4,3,2,1,2,3
745802897922,Neema Yadav,60,F,Lakhimpur Kheri,9.6704,3.078,4,75069,3,2,3,2,1,2
684126430656,Aman Rahi,43,M,Koil Aligarh,-7.2733,4.3331,2,28577,3,2,1,2,3,2
719835262926,Arpit Yadav,72,M,Kanpur Dehat,-7.3366,-6.9539,1,11665,2,3,2,3,2,3
645009669330,Abhik Tomar,15,M,Shahabad,-9.1063,9.4722,4,81884,1,2,3,2,1,2
980543274501,Devraj Desai,22,M,Saidpur,3.9882,5.5464,2,26545,1,2,3,2,3,4
748750063167,Janhavi Arora,73,F,Lakhimpur Kheri,9.6823,7.8447,1,18384,3,2,1,2,1,2
897764327669,Prakhar Patri,53,M,Ambedkar Nagar,-5.4418,-6.2323,3,51249,2,1,2,1,2,3
306977098863,Aman Bharti,42,M,Bareilly,-3.832,-4.6775,1,19406,3,2,3,4,3,2
125790300743,Rhythm Kumar,65,M,Sidhauli,-0.9677,-2.8388,1,10250,2,3,2,1,2,3
811809824327,Taarak Nigam,52,M,Prayagraj,-5.6668,-9.0128,3,56257,1,2,1,2,1,2
953653862148,Ankita Biswa,23,F,Sikandara,9.8294,0.4661,3,54814,4,3,4,3,4,3
821878262369,Monoj Khandoi,57,M,Utaraula,-1.3632,-2.4668,1,9522,4,3,4,3,2,3
792079438988,Ameya Mahajan,73,M,Varanasi,4.6462,2.4246,2,42154,3,2,3,4,3,4
794103264569,Sonu Gupta,39,F,Machhlishahr,4.8568,7.9201,2,45055,4,3,2,1,2,1
